ID,Name (EN),Name (AR),,,,
129,SRI LANKA,سريلانكا,,,,
130,SUDAN,السودان,,,,
131,SWEDEN,السويد,,,,
132,SWITZERLAND,سويسرا,,,,
133,SYRIA,سوريا,,,,
134,TAJIKISTAN,طاجيكستان,,,,
135,TANZANIA,تنزانيا,,,,
3,THAILAND,تايلند,,,,
137,TOGO,توغو,,,,
138,TRINIDAD AND TOBAGO,ترينيداد وتوباغو,,,,
139,TUNISIA,تونس,,,,
18,TURKEY,تركيا,,,,
141,TURKMENISTAN,تركمانستان,,,,
142,UGANDA,أوغندا,,,,
5,UKRAINE,أوكرانيا,,,,
1,UNITED ARAB EMIRATES,الإمارات العربية المتحدة,,,,
20,UK,المملكة المتحدة,,,,
146,URUGUAY,أورغواي,,,,
19,USA,الولايات المتحدة الأمريكية,,,,
148,UZBEKISTAN,أوزباكستان,,,,
149,VENEZUELA,فنزويلا,,,,
29,VIETNAM,فيتنام,,,,
151,YEMEN,اليمن,,,,
152,ZAMBIA,زامبيا,,,,
153,ZIMBABWE,زمبابوي,,,,
21,ENGLAND,المملكة المتحدة,,,,
